rowname,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
bio01,,,,,,,,,,,,,,,,,,,
bio02,-.37,,,,,,,,,,,,,,,,,,
bio03, .74,-.20,,,,,,,,,,,,,,,,,
bio04,-.77, .33,-.93,,,,,,,,,,,,,,,,
bio05, .61, .37, .33,-.28,,,,,,,,,,,,,,,
bio06, .93,-.59, .80,-.85, .36,,,,,,,,,,,,,,
bio07,-.76, .75,-.75, .82,-.04,-.93,,,,,,,,,,,,,
bio08, .91,-.30, .60,-.60, .63, .80,-.61,,,,,,,,,,,,
bio09, .94,-.47, .75,-.80, .50, .95,-.82, .76,,,,,,,,,,,
bio10, .95,-.33, .58,-.58, .68, .84,-.63, .92, .87,,,,,,,,,,
bio11, .98,-.40, .83,-.86, .53, .96,-.82, .83, .96, .88,,,,,,,,,
bio12, .54,-.42, .65,-.73, .05, .64,-.64, .43, .58, .37, .62,,,,,,,,
bio13, .61,-.24, .64,-.72, .27, .65,-.57, .44, .66, .44, .68, .82,,,,,,,
bio14, .12,-.69, .10,-.18,-.45, .29,-.41, .13, .18, .08, .15, .58, .22,,,,,,
bio15, .00, .56,-.03, .10, .44,-.15, .28,-.05,-.04, .01,-.03,-.50,-.04,-.92,,,,,
bio16, .61,-.23, .67,-.75, .28, .65,-.58, .46, .65, .44, .69, .86, .98, .23,-.08,,,,
bio17, .14,-.67, .14,-.22,-.42, .31,-.42, .14, .20, .09, .17, .63, .26, .99,-.94, .27,,,
bio18,-.29, .08,-.15, .11,-.31,-.27, .20,-.09,-.41,-.36,-.28, .28, .04, .34,-.38, .08, .35,,
bio19, .50,-.62, .45,-.52,-.04, .61,-.63, .33, .63, .43, .55, .67, .55, .67,-.56, .55, .69,-.17,
