"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"bio01",9.18,1.3,0.42,3.03,0
"bio02",1.25,8.98,16.21,2.31,4.04
"bio03",8.08,0.24,0.96,0.61,5.63
"bio04",8.34,0.58,0.59,1.51,10.94
"bio05",3.78,7.61,0.86,13.35,14.06
"bio06",9.72,0,2.17,0.02,1.72
"bio07",7.32,1.84,4.77,2.71,11.43
"bio08",6.31,2.03,0.03,11.43,1.59
"bio09",9.01,0.25,2.05,0.02,0.81
"bio10",7.34,1.04,3.17,8.94,6.75
"bio11",9.62,0.98,0.09,0.48,0.74
"bio12",4.04,9.11,9.31,0.02,0.66
"bio13",5.53,0.78,16.1,7.58,2.34
"bio14",0.21,18.47,0.47,5.55,0.35
"bio15",0.08,17.47,0.94,6,1.3
"bio16",5.63,1.02,17.27,6.07,1.86
"bio17",0.24,18.97,0.33,5.19,0.39
"bio18",0.51,4.4,23.26,15.31,13.73
"bio19",3.81,4.95,1,9.87,21.67
